English,Infinitive,Present tense,Past tense,Past participle,Ending,A2
give,å gi,gir,gav,har gitt,,Y
take the trouble,å gidde,gidder,gadd,har giddet,,
marry,å gifte,gifter,giftet,har giftet,et,
"be in force, apply",å gjelde,gjelder,gjaldt / galdt,har gjeldt,,
to hide,å gjemme,gjemmer,gjemte,har gjemt,te,
repeat,å gjenta,gjentar,gjentok,har gjentatt,,Y
guess,å gjette,gjetter,gjettet,har gjettet,,
do,å gjøre,gjør,gjorde,har gjort,,Y
look forward,å glede seg,gleder seg,gledet seg,har gledet seg,et,
forget,å glemme,glemmer,glemte,har glemt,te,
"slide, glide","å gli, glide",glir,"gled, glei",har glidd,,
miss,å glippe,glipper,glapp,har glippet,,
gnaw,å gnage,gnager,gnog,har gnaget,,
rub,å gni,gnir,"gned, gnei, *gnidde",har gnidd,,
cry,å gråte,gråter,"gråt, gret",har grått,,
congratulate,å gratulere,gratulerer,gratulerte,har gratulert,,
dig,å grave,graver,"grov, *gravde",har gravd,,
comb,å gre,grer,gredde,har gredd,,
"manage, cope with",å greie,greier,greide,har greid,,
border,å grense,grenser,grenset,har grenset,,
grill,å grille,griller,grillet,har grillet,,
fret,å grine,griner,"gren, grein, *grinte",har grint,,
grip,å gripe,griper,"grep, greip",har grepet,,
dread,å grue seg,gruer seg,grudde seg,har gruet,,
shudder,å gyse,gyser,"gjøs, *gyste",har gyst,,
spawn,å gyte,gyter,"gjøt, *gjytte",har gytt,,
fly,å gyve,gyver,"gjøv, gjøyv","har gjøvet, gyvd",,
have,å ha,har,hadde,har hatt,,Y
"act, shop, deal with",å handle,handler,handlet,har handlet,,
hope,å håpe,håper,håpet,har håpet,,
happen,å hende,hender,hendte,har hendt,,
hang,å henge,henger,hang/hengte,har hengt,,
"fetch, bring",å hente,henter,hentet,har hentet,et,
be called/named,å hete,heter,hette,har hett,te,
greet,å hilse,hilser,hilste,har hilst,te,
prevent,å hindre,hindrer,hindret,har hindret,,
heave,å hive,hiver,"hev, heiv, *hivde",har hivd,,
help,å hjelpe,hjelper,hjalp,har hjulpet,,Y
"cut, chop",å hogge,hogger,"hogg, *hogde",har hogd,,
"keep, hold",å holde,holder,holdt,har holdt,,
jump,å hoppe,hopper,hoppet,har hoppet,et,
hear,å høre,hører,hørte,har hørt,te,
