Date,Verb,C1,Infinitive,C2,PresentTense,C3,PastTense,C4,PastParticiple,Ending,Irregular,Percent,
08/01/2021 00:00,"answer, reply",,å svære,,svarer,,svarte,,har svart,te,,75,
08/01/2021 00:00,take,,å ta,,tar,,tok,,har tok,,Y,75,
08/01/2021 00:00,count,,å telle,,teller,,tellte,,har telt,,Y,50,
08/01/2021 00:00,"think, intend",,å tenke,,tenker,,tenkte,,har tenkt,te,,100,
08/01/2021 00:00,meet/hit,,å treffe,,treffer,,treffte,,har traff,,Y,50,
08/01/2021 00:00,pull,,å t,,trekker,,trekte,,har trak,,,25,
08/01/2021 00:00,need,,å trenge,,trenger,,trengte,,har trengt,te,,100,
08/01/2021 00:00,believe,,å tro,,tror,,trodde,,har trod,,,75,
08/01/2021 00:00,to print,,å trikke,,trykker,,trykte,,trikker,et,,25,
08/01/2021 00:00,to joke ,,p d,,tuller,,tullte,,har tullet,et,,50,
08/01/2021 00:00,"be, exist",,å være,,be,,var,,har hat,,Y,50,
08/01/2021 00:00,"wake, awaken",,å våke,,våkner,,våknte,,har våkt,et,,25,
08/01/2021 00:00,wash,,å vaske,,vasker,,vasket,,har vaskt,,,75,
08/01/2021 00:00,"wait, expect",,å vente,,venter,,vente,,har vent,et,,50,
08/01/2021 00:00,"want to, will",,å ville,,skal,,vil,,har vil,,Y,25,
08/01/2021 00:00,show,,å d,,viser,,viste,,vister,te,,50,
08/01/2021 00:00,know,,å vet,,viter,,har vet,,har vet,,Y,0,
09/01/2021 00:00,open,,å åpne,,åpnet,,åpnet,,har åpnet,et,,75,
09/01/2021 00:00,open,,å åpne,,åpner,,åpnet,,har åpnet,et,,100,
09/01/2021 00:00,work,,å arbeide,,arbeider,,arbeidet,,har arbeidet,et,,100,
09/01/2021 00:00,to bake,,å bake,,baker,,bakte,,har bakt,te,,100,
09/01/2021 00:00,begin,,å begynne,,begynner,,begynte,,har begynte,te,,75,
09/01/2021 00:00,pay,,å betale,,betaler,,betalte,,har betalte,te,,75,
09/01/2021 00:00,"mean, signify",,å bety,,betyr,,betydde,,har betydd,dde,,100,
09/01/2021 00:00,to move,,å flytte,,beveger,,beveget,,har beveget,et,,50,
09/01/2021 00:00,"live, reside",,å bo,,bor,,bodde,,har bodd,dde,,100,
09/01/2021 00:00,use,,å bruke,,bruker,,brukte,,har brukt,te,,100,
09/01/2021 00:00,to cover,,å b,,dekker,,dekket,,har dekkt,et,,50,
09/01/2021 00:00,die,,å dø,,døor,,døde,,har dødd,de,,50,
09/01/2021 00:00,shower,,å dusje,,dusjer,,dusjet,,har dusjet,et,,100,
09/01/2021 00:00,"be, feel",,å føle,,føler seg,,følte seg,,hasr ,te,,50,
09/01/2021 00:00,explain,,å forkla,,forklarer,,forlart,,har forklart,te,,50,
09/01/2021 00:00,marry,,å gifte,,gifter,,giftet,,har giftet,et,,100,
09/01/2021 00:00,to hide,,å hyd,,gjemmer,,gjemte,,har gjemmt,te,,50,
09/01/2021 00:00,look forward,,å glede seg,,gleder seg,,gledet seg,,har gledt seg,et,,75,
09/01/2021 00:00,forget,,å glemme,,glemmer,,glemte,,har glemt,te,,100,
09/01/2021 00:00,"fetch, bring",,å henta,,henter,,hentet,,har hentet,et,,75,
09/01/2021 00:00,be called/named,,å hete,,heter,,hetet,,har het,te,,50,
09/01/2021 00:00,greet,,å hilse,,hilser,,hilste,,har hilst,te,,100,
09/01/2021 00:00,jump,,å jumpe,,hopper,,hoppet,,har hoppt,et,,50,
